,ABEDUS,ABLABESMYIA,ACAMPTOCLADIUS,ACELLA,ACENTRELLA,ACRICOTOPUS,ACRONEURIA,ACTINOBDELLA,AESHNA,AESHNIDAE,AGABINAE,AGABUS,AGARODES,AGRAYLEA,AGRYPNIA,ALBIA,ALBOGLOSSIPHONIA,ALLONAIS,ALOTANYPUS,AMBRYSUS,AMERICOROPHIUM,AMNICOLA,AMPHINEMURA,AMPHIPODA,AMPITHOE,ANAFROPTILUM,ANAX,ANCYRONYX,ANODONTA,AORIDAE,APEDILUM,APHYLLA,APOCOROPHIUM,ARACHNIDA,ARCTEONAIS,ARGIA,ARGULUS,ARIGOMPHUS,ARMIGER,ARRENURUS,ASELLIDAE,ATRACTIDES,ATRICHOPOGON,ATYLOTUS/TABANUS,AULODRILUS,AXARUS,BAETIDAE,BANKSIOLA,BASIAESCHNA,BELOSTOMA,BELOSTOMATIDAE,BEOTHUKUS,BEROSUS,BEZZIA/PALPOMYIA,BILYJOMYIA,BIOMPHALARIA,BITHYNIA,BIVALVIA,BOREOCHLUS,BOYERIA,BRACHYCERCINAE,BRANCHIOBDELLIDAE,BRANCHIODRILUS,BRANCHIURA,BRATISLAVIA,BRILLIA,BRYCHIUS,CAECIDOTEA,CAENIDAE,CAENIS,CALLIBAETIS,CALOPTERYGIDAE,CALOPTERYX,CAMBARIDAE,CAMBARUS,CAMPELOMA,CAPITELLA,CAPNIIDAE,CASSIDINIDEA,CELINA,CELITHEMIS,CENTROLIMNESIA,CENTROPTILUM,CERACLEA,CERATOPOGONIDAE,CERATOPOGONINAE,CERNOTINA,CHAETOCLADIUS,CHAETOGASTER,CHAETOZONE,CHAOBORUS,CHAULIODES,CHAULIODINAE,CHELIFERA/METACHELA,CHEUMATOPSYCHE,CHIRONOMINI,CHIRONOMUS,CHLOROPERLIDAE,CHLOROTABANUS,CHOROTERPES,CHROMAGRION,CHRYSOMELIDAE,CHRYSOPS,CINCINNATIA,CIPANGOPALUDINA,CIRRATULIDAE,CLADOPELMA,CLADOTANYTARSUS,CLEPTELMIS,CLINOCERA,CLINOTANYPUS,CLOEON,COELOTANYPUS,COENAGRION/ENALLAGMA,COENAGRIONIDAE,COLEOPTERA,COLYMBETES,COLYMBETINAE,CONSTEMPELLINA,COPTOTOMUS,CORBICULA,CORDULIA,CORDULIIDAE,CORIXIDAE,COROPHIIDAE,CORYDALIDAE,CORYNONEURA,CORYPHAESCHNA,CRAMBIDAE,CRANGONYCTIDAE,CRANGONYX,CRICOTOPUS,CRICOTOPUS/ORTHOCLADIUS,CRYPTOCHIRONOMUS,CRYPTOTENDIPES,CUMACEA,CYATHURA,CYRNELLUS,CYZICUS,DASYHELEA,DECAPODA,DEMEIJEREA,DEMICRYPTOCHIRONOMUS,DENTATELLA,DERALLUS,DERO,DEROTANYPUS,DESDIMELITA,DESMOPACHRIA,DIACHLORUS,DIAMESA,DICRANOTA,DICROTENDIPES,DIDYMOPS,DINEUTUS,DIPLOCLADIUS,DIPTERA,DIXA,DIXELLA,DJALMABATISTA,DOLICHOPODIDAE,DOROCORDULIA,DREISSENA,DROMOGOMPHUS,DUBIRAPHIA,DYTISCIDAE,DYTISCUS,ECDYONURUS,ECTOPRIA,EINFELDIA,ELIMIA,ELLIPTIO,ELMIDAE,EMPIDIDAE,ENALLAGMA,ENCHYTRAEIDAE,ENDOCHIRONOMUS,ENOCHRUS,EOPARARGYRACTIS,EPHEMERA,EPHEMERELLA,EPHEMERELLIDAE,EPHEMERIDAE,EPHEMEROPTERA,EPHYDRIDAE,EPITHECA,EPOICOCLADIUS,ERIOPTERA,ERPOBDELLA,ERPOBDELLIDAE,ERYTHEMIS,EUKIEFFERIELLA,EUPERA,EURYLOPHELLA,EYLAIS,FABRIA,FERRISSIA,FICOPOMATUS,FITTKAUIMYIA,FORCIPOMYIA,FORELIA,FRONTIPODA,GALBA,GAMMARIDAE,GAMMARUS,GASTROPODA,GEAYIA,GLOSSIPHONIA,GLOSSIPHONIIDAE,GLYPHOPSYCHE,GLYPTOTENDIPES,GNORIMOSPHAEROMA,GOELDICHIRONOMUS,GOMPHIDAE,GOMPHUS,GRANDIDIERELLA,GUMAGA,GUTTIPELOPIA,GYRAULUS,GYRINIDAE,GYRINUS,HAEMONAIS,HAEMOPIS,HAGENIUS,HALACARIDAE,HALESOCHILA,HALIPLIDAE,HALIPLUS,HARNISCHIA,HEBETANCYLUS,HEDRIODISCUS/ODONTOMYIA,HELICHUS,HELICOPSYCHE,HELISOMA,HELIUS,HELOBDELLA,HELOCHARES,HELOPHORUS,HEMERODROMIA,HEPTAGENIIDAE,HESPEROCORIXA,HESPEROPHYLAX,HETERLIMNIUS,HETEROTANYTARSUS,HETEROTRISSOCLADIUS,HEXAGENIA,HIRUDINIDA,HYALELLA,HYDATICUS,HYDRA,HYDRACHNA,HYDRELLIA,HYDROBAENUS,HYDROCANTHUS,HYDROCHOREUTES,HYDROCOLUS,HYDRODROMA,HYDRODROMIDAE,HYDROPHILIDAE,HYDROPORINAE,HYDROPSYCHIDAE,HYDROPTILA,HYDROPTILIDAE,HYDROSMITTIA,HYDROVATUS,HYDRYPHANTES,HYDRYPHANTIDAE,HYGROBATES,HYGROTUS,HYPORHYGMA,ILYODRILUS,ISCHNURA,ISOCHAETIDES,ISOPODA,JUGA,KIEFFERULUS,KOENIKEA,KRENDOWSKIA,KRENDOWSKIIDAE,KRIBIODORUM,LABIOBAETIS,LABRUNDINIA,LACCOBIUS,LACCOPHILUS,LADONA,LAEVAPEX,LARSIA,LAUTERBORNIELLA,LEBERTIA,LEPIDOPTERA,LEPIDOSTOMA,LEPTOCERIDAE,LEPTOCERUS,LEPTOCHELIA,LEPTOPHLEBIA,LEPTOPHLEBIIDAE,LESTES,LESTIDAE,LETHOCERUS,LEUCORRHINIA,LEUCROCUTA,LEUCTRA,LIBELLULA,LIBELLULIDAE,LIBELLULIDAE/CORDULIIDAE,LIMNEPHILIDAE,LIMNEPHILUS,LIMNESIA,LIMNOCHARES,LIMNODRILUS,LIMNOPHYES,LIMONIA,LIODESSUS,LIPINIELLA,LIRCEUS,LITTORIDINOPS,LUMBRICINA,LUMBRICULIDAE,LUMBRICULUS,LYMNAEA,LYMNAEIDAE,LYOGYRUS,LYPE,MACCAFFERTIUM,MACROBDELLA,MACROMIA,MACROMIIDAE,MACRONYCHUS,MACROPELOPIA,MACROPELOPIINI,MANAYUNKIA,MARGARITIFERA,MARILIA,MARSTONIA,MELANOIDES,MENETUS,MICRASEMA,MICROCHIRONOMUS,MICROCYLLOEPUS,MICROMENETUS,MICROPSECTRA,MICROTENDIPES,MIDEA,MIDEOPSIS,MOLANNA,MOLANNIDAE,MOMONIA,MONATRACTIDES,MONOCOROPHIUM,MONODIAMESA,MUSCIDAE,MUSCULISTA,MUSCULIUM,MYSIDAE,MYSTACIDES,MYTILIDAE,MYXOSARGUS,NAIDIDAE,NAIS,NANOCLADIUS,NATARSIA,NAUCORIDAE,NECTOPSYCHE,NEMATODA,NEMOTAULIUS,NEOCLOEON,NEOMYSIS,NEOPLEA,NEOPORUS,NEOSTEMPELLINA,NEOZAVRELIA,NEUMANIA,NEURECLIPSIS,NEUROCORDULIA,NIGRONIA,NILOTHAUMA,NIPPOLEUCON,NO_MACROINVERTEBRATES_IN_SAMPLE,NOTERIDAE,NYCTIOPHYLAX,OCHTHEBIUS,ODONATA,ODONTOMESA,OECETIS,OMISUS,OPHIDONAIS,OPHIOGOMPHUS,OPTIOSERVUS,ORCONECTES,ORTHEMIS,ORTHOCLADIINAE,ORTHOCLADIUS,ORTHOTRICHIA,OSTRACODA,OULIMNIUS,OXUS,OXYETHIRA,PACHYDIPLAX,PACIFASTACUS,PAGASTIELLA,PALAEMON,PALAEMONETES,PALAEMONIDAE,PARACHAETOCLADIUS,PARACHIRONOMUS,PARACLADIUS,PARACLADOPELMA,PARAKIEFFERIELLA,PARALAUTERBORNIELLA,PARALEPTOPHLEBIA,PARAMETRIOCNEMUS,PARANAIS,PARAPHAENOCLADIUS,PARAPOYNX,PARATANYTARSUS,PARATENDIPES,PAROCHLUS,PEDICIA,PELOCORIS,PELTODYTES,PENTANEURINI,PERICOMA/TELMATOSCOPUS,PERITHEMIS,PERLINELLA,PERLODIDAE,PETROPHILA,PHAENOPSECTRA,PHILARCTUS,PHRYGANEA,PHRYGANEIDAE,PHYLOCENTROPUS,PHYSA,PHYSIDAE,PIONA,PIONACERCUS,PIONIDAE,PIONOPSIS,PISIDIUM,PLACOBDELLA,PLANORBELLA,PLANORBIDAE,PLANORBULA,PLATHEMIS,PLATYISCHNOPIDAE,PLEIDAE,PLEUROCERA,PLEUROCERIDAE,POLYCELIS,POLYCENTROPODIDAE,POLYCENTROPUS,POLYDORA,POLYPEDILUM,POTAMILUS,POTAMOPYRGUS,POTAMOTHRIX,POTTHASTIA,PRISTINA,PROBEZZIA,PROBYTHINELLA,PROCLADIUS,PROCLOEON,PRODIAMESA,PROMENETUS,PROMORESIA,PROSTOMA,PROTANYPUS,PSAMMORYCTIDES,PSECTROCLADIUS,PSECTROTANYPUS,PSEPHENUS,PSEUDOCHIRONOMUS,PSEUDODIAMESA,PSEUDOSMITTIA,PSEUDOSUCCINEA,PSEUDOTRYONIA,PSYCHODA,PSYCHODIDAE,PSYCHOGLYPHA,PSYCHOMYIIDAE,PTILOSTOMIS,PYCNOPSYCHE,PYRGOPHORUS,QUISTADRILUS,QUISTRADRILUS,RADIX,RADOTANYPUS,RAMELLOGAMMARUS,RANATRA,RHANTUS,RHEOCRICOTOPUS,RHEOTANYTARSUS,RHYACODRILUS,RHYACOPHILA,RIPISTES,SAETHERIA,SANFILIPPODYTES,SCIOMYZIDAE,SCIRTIDAE,SERGENTIA,SERICOSTOMATIDAE,SIALIS,SIMULIUM,SINELOBUS,SIPHLONURIDAE,SIPHLONURUS,SISYRA,SISYRIDAE,SLAVINA,SMITTIA,SOMATOCHLORA,SPARBARUS,SPECARIA,SPERCHON,SPHAERIIDAE,SPHAERIUM,SPHAEROMATIDAE,SPHAEROMIAS,SPHAEROSYLLIS,SPIOPHANES,SPIROSPERMA,STAGNICOLA,STEMPELLINA,STEMPELLINELLA,STENACRON,STENELMIS,STENOCHIRONOMUS,STENONEMA,STICTOCHIRONOMUS,STICTOTARSUS,STRATIOMYIDAE,STRATIOMYS,STYLARIA,SUPHISELLUS,SWELTSA,SYLLIS,SYMPETRUM,SYNORTHOCLADIUS,TABANIDAE,TANYPODINAE,TANYPUS,TANYTARSINI,TANYTARSUS,TAPHROMYSIS,TASSERKIDRILUS,TELOGANOPSIS,TESTUDACARUS,THEROMYZON,THIENEMANNIELLA,THIENEMANNIMYIA GENUS GR.,TIPHYS,TIPULA,TIPULIDAE,TORRENTICOLA,TORRENTICOLIDAE,TOXOLASMA,TRAMEA,TRIAENODES,TRIBELOS,TRICHOPTERA,TRICORYTHODES,TROMBIDIFORMES,TROPISTERNUS,TRYONIA,TUBIFEX,TUBIFICIDAE,TURBELLARIA,TVETENIA,UNCINAIS,UNIONICOLA,UNIONICOLIDAE,UNIONIDAE,UNIONOIDA,UROMUNNA,UTTERBACKIA,VALVATA,VEJDOVSKYELLA,VENEROIDA,VIVIPARIDAE,VIVIPARUS,VORTICIFEX,WAYNOKIOPS,WETTINA,XENOCHIRONOMUS,XYLOTOPUS,YORAPERLA,ZALUTSCHIA,ZAVRELIELLA,ZAVRELIMYIA
NLA17_WA-10050,,4,,,,,,,,1,,,,2,,,,,,,,,,32,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,9,2,,,,,,,,,,,,,,3,,,,,,,,,,,,21,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,108,,,,,,,,,10,,,,,,,,2,,,7,,,,,,,,1,,,,,,,,1,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLA17_WA-10052,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,3,,,,,,,,,,,,,,242,,4,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,,,,,,,,1,,1,3,,,5,,,,69,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,13,,,,,,,2,1,,,,,,,,1,4,,,,,,,,1,,,,,,,,,,,,8,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,2,2,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,8,,,67,1,,,,,,,,,,,,,,,,,1,,,,,,,,9,,,,,,,,,,,,1,,,,1,,,,,4,,,,,,,,,,7,2,,,,,,,,,,,7,,,,,8,,,,,,3,,1,,,,,,,,,1,,,8,,,,,,,,13,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLA17_WA-10056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLA17_WA-10057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLA17_WA-10060,,11,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,156,,,,,,,,1,4,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,23,,,,,7,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,11,1,,4,,,,,,,,15,,,,,,,,7,,,,,,,,,,,,,,,,,,9,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,8,,,,,,,9,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,27
NLA17_WA-10064,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,78,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,23,,,,,,,,,,1,24,,,,,,,,,,16,,,,,,,,13,,,,,,,,,,,,,,,,,3,,,,,,,,34,,,,,,6,,,,,,,5,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,75,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,4,,,,5,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,,,,,,1,,,4,,,,,,,1,,,,,,3,,,,,,,5,,,,,,,,,,54,,,,,,,,,,,,,,,,,7,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,19,,,,,,,,13,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,57,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
NLA17_WA-HP001,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,18,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,56,,,,,,,,,,,,,,15,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
NLA17_WA-HP002,,1,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,14,,,,,,,,,,,,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,8,,,,,,,,,,,,,,,9,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,2,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,80,,,,,,24,,,,,,,,,,,,,,8,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,5,,,,,1,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
NLA17_WA-HP003,,5,,,,,,,,4,,,,,,,,,,,,,,1,,,2,,,,6,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,23,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,12,16,,,,,,,31,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,4,3,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,4,,,,,,3,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
NLA17_WI-10001,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,5,,,,,,12,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,135,1,,,,,,,,,,,,,,6,,,,5,,,,,,1,,14,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,20,1,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,,,14,,,,,,,,,6,,,,,,,,,,,10,,,,,,,,,2,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,10,,,,,,,,,,,,4,,,,,,,,,,5,,,,,1,,,,,,,,,,,,1,,61,,116,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,
NLA17_WI-10002,,17,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,1,,,,,,,,,,,,,,6,,14,1,,,3,,,,,,,,,,,3,4,,,1,,,,,,,,1,,,,,,,,,,4,24,,,3,,,,1,,,,,,,,,,,,,,,,,1,3,2,3,,,,,9,,,,,,3,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,49,,,,,,,,,,,,,,,5,,7,,,,,,,,,,,,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,9,,,,,,,2,1,,,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,6,,,,,,,9,,,,,1,1,,,,,,,,,,,12,,7,,,,3,,3,20,,,,,,,,,,,2,,,,,,,,10,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,1,,,,,,,21,2,,,,,1,,,,5,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,1,,,,,,,,7,
NLA17_WI-10003,,3,,,,,,,,,,,,,,,1,,,,,216,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,13,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,17,,,,,3,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,1,,2,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,1,,,,,,,,,,2,,1,,,,,,,,,3,,,,3,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,10,,1,,,,1,,5,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,19,,,,,,,,,,,,,
